ID,Is_Lead
CCMEWNKY,0.48347671563438044
VVUKMUJT,0.9849458705314856
EAHDPXEJ,0.46869322453201023
MPXK6TVE,0.16915484712414355
HGDIBAKA,0.4197153318487646
RBRSJUP3,0.07633758069843793
JUIRE47M,0.07008162978004935
WMF3DYE3,0.460437034456024
UH6ZDM3W,0.05906066007843987
6GORGNYN,0.11655866057271196
82GRNPFG,0.08279511359585051
FDWZFSSC,0.08959181242978889
AHUDO2T6,0.08811142422091367
93RURE2J,0.4663090103958794
VGVEYSEG,0.4833494558126607
IEEUGXMY,0.05074189542458981
9AHNH8ZX,0.5257232527252439
YRHYUJFW,0.40913469351414433
2RRNUFBV,0.4704598450213312
E2Z98CR3,0.10895321840378537
GU4RDP8S,0.12922322240279466
LCUC2LAJ,0.08793316691743439
FAMHAVN3,0.1292267981055287
KZ5J2JGC,0.12922322240279466
WQJ9SPT9,0.4616993234795042
NOJ2KSCC,0.09932012697174813
LCFYUVE9,0.509910093089399
GPXEUNND,0.11790986784603455
QT6DF6EW,0.08502504047478353
CRGXVSBF,0.06838805651684368
7X2MC5GZ,0.08769895978956277
ZWDXVKDF,0.126059569944755
CEAZEPY4,0.9912001716342075
KERBCSGE,0.9821760255941165
7HTA4C6J,0.6316811234082949
UENREGNV,0.1158008321593296
CC4LYHEW,0.45738984989210224
EON5DCWD,0.995231208457425
8RQ27JGU,0.45775775429914906
A8GKBMBO,0.44039328809171446
68EFFKBB,0.771976661556261
NEUII7AB,0.9866653643768253
JUQ76NJV,0.26082814068531657
FFM6DHEA,0.2791606192304033
RQZGBGGN,0.42497225293431906
CGGVBJKZ,0.9853676144361567
JO9DV3NY,0.3036470923488011
ZHHFH7H9,0.0673367786509286
2MFKPCPS,0.08321833245419781
EAPKN7G8,0.9869144015788115
DOFSPEWD,0.08567983891975345
4ENG9TKV,0.4338830077795937
Y7EEZYYS,0.5912717369462979
WSFUNE28,0.42414148522630446
PU3J43GY,0.08636197152759931
8CIAWHWZ,0.28107475467166887
NVVVFQ9U,0.14761854573732316
KWQAVZOE,0.5138170798993911
GJVVWNKN,0.12995085028597855
CN4YERMU,0.133275052561415
EAOF4EYO,0.12319057360275568
5HPCBEQQ,0.1292584846827102
4MAT9RSM,0.08357951010370257
SBDGZSY9,0.08373606522666784
G7D2BESM,0.09783605408406049
NYWLDSFZ,0.5169009001586892
DYKME2AY,0.45692458355928467
RHTCABWR,0.6236977241653664
UU4ECFQ5,0.07637356296513852
IHQY3US8,0.13261907180194143
JVJZVKUJ,0.08131356753792361
2ZDDJYHE,0.1333278177239735
DR5F2HVS,0.08271768012644112
ME3XYUC5,0.44552496019689225
22IQJE4I,0.07735012114599281
BNE8WOYV,0.0890180022262221
UMQWVVHH,0.08593717341212141
DKEMLQCU,0.09275976265097897
VVPNRFRF,0.1708731347365901
6UZE4NSH,0.11300027197559372
4EQAO8W3,0.27162485726550223
DV5EXZEZ,0.39444166504152267
GAB49KQU,0.11569873071648283
KCBVOKZ8,0.09514482145056208
